id,time_stamp,traffic_light_id,number_of_cars
1,08:05:00,1,74
2,08:05:00,2,62
3,08:05:00,3,48
4,08:05:00,4,31
5,08:05:00,5,42
6,08:10:00,1,94
7,08:10:00,2,48
8,08:10:00,3,37
9,08:10:00,4,85
10,08:10:00,5,74
11,08:15:00,1,59
12,08:15:00,2,89
13,08:15:00,3,25
14,08:15:00,4,62
15,08:15:00,5,95
16,08:20:00,1,20
17,08:20:00,2,31
18,08:20:00,3,96
19,08:20:00,4,81
20,08:20:00,5,58
21,08:25:00,1,77
22,08:25:00,2,85
23,08:25:00,3,76
24,08:25:00,4,92
25,08:25:00,5,36
26,08:30:00,1,96
27,08:30:00,2,50
28,08:30:00,3,95
29,08:30:00,4,62
30,08:30:00,5,70
31,08:35:00,1,32
32,08:35:00,2,95
33,08:35:00,3,97
34,08:35:00,4,66
35,08:35:00,5,88
36,08:40:00,1,81
37,08:40:00,2,87
38,08:40:00,3,61
39,08:40:00,4,82
40,08:40:00,5,49
41,08:45:00,1,31
42,08:45:00,2,24
43,08:45:00,3,64
44,08:45:00,4,81
45,08:45:00,5,77
46,08:50:00,1,86
47,08:50:00,2,36
48,08:50:00,3,22
49,08:50:00,4,59
50,08:50:00,5,33
51,08:55:00,1,50
52,08:55:00,2,63
53,08:55:00,3,63
54,08:55:00,4,54
55,08:55:00,5,21
56,09:00:00,1,82
57,09:00:00,2,30
58,09:00:00,3,57
59,09:00:00,4,80
60,09:00:00,5,45
61,09:05:00,1,26
62,09:05:00,2,99
63,09:05:00,3,88
64,09:05:00,4,77
65,09:05:00,5,88
66,09:10:00,1,42
67,09:10:00,2,34
68,09:10:00,3,21
69,09:10:00,4,55
70,09:10:00,5,69
71,09:15:00,1,77
72,09:15:00,2,83
73,09:15:00,3,30
74,09:15:00,4,65
75,09:15:00,5,32
76,09:20:00,1,38
77,09:20:00,2,39
78,09:20:00,3,33
79,09:20:00,4,73
80,09:20:00,5,52
81,09:25:00,1,44
82,09:25:00,2,36
83,09:25:00,3,75
84,09:25:00,4,46
85,09:25:00,5,92
86,09:30:00,1,72
87,09:30:00,2,20
88,09:30:00,3,75
89,09:30:00,4,51
90,09:30:00,5,34
91,09:35:00,1,87
92,09:35:00,2,80
93,09:35:00,3,56
94,09:35:00,4,22
95,09:35:00,5,67
96,09:40:00,1,79
97,09:40:00,2,23
98,09:40:00,3,91
99,09:40:00,4,61
100,09:40:00,5,50
101,09:45:00,1,62
102,09:45:00,2,43
103,09:45:00,3,54
104,09:45:00,4,27
105,09:45:00,5,35
106,09:50:00,1,21
107,09:50:00,2,54
108,09:50:00,3,47
109,09:50:00,4,32
110,09:50:00,5,43
111,09:55:00,1,65
112,09:55:00,2,99
113,09:55:00,3,43
114,09:55:00,4,51
115,09:55:00,5,34
116,10:00:00,1,22
117,10:00:00,2,88
118,10:00:00,3,67
119,10:00:00,4,41
120,10:00:00,5,69
121,10:05:00,1,34
122,10:05:00,2,57
123,10:05:00,3,25
124,10:05:00,4,25
125,10:05:00,5,85
126,10:10:00,1,86
127,10:10:00,2,66
128,10:10:00,3,24
129,10:10:00,4,63
130,10:10:00,5,76
131,10:15:00,1,25
132,10:15:00,2,97
133,10:15:00,3,64
134,10:15:00,4,69
135,10:15:00,5,95
136,10:20:00,1,99
137,10:20:00,2,22
138,10:20:00,3,45
139,10:20:00,4,89
140,10:20:00,5,72
141,10:25:00,1,32
142,10:25:00,2,93
143,10:25:00,3,53
144,10:25:00,4,49
145,10:25:00,5,44
146,10:30:00,1,86
147,10:30:00,2,44
148,10:30:00,3,72
149,10:30:00,4,89
150,10:30:00,5,67
151,10:35:00,1,54
152,10:35:00,2,20
153,10:35:00,3,72
154,10:35:00,4,68
155,10:35:00,5,82
156,10:40:00,1,66
157,10:40:00,2,83
158,10:40:00,3,49
159,10:40:00,4,89
160,10:40:00,5,66
161,10:45:00,1,32
162,10:45:00,2,70
163,10:45:00,3,44
164,10:45:00,4,68
165,10:45:00,5,92
166,10:50:00,1,67
167,10:50:00,2,88
168,10:50:00,3,24
169,10:50:00,4,41
170,10:50:00,5,74
171,10:55:00,1,72
172,10:55:00,2,95
173,10:55:00,3,72
174,10:55:00,4,82
175,10:55:00,5,77
176,11:00:00,1,26
177,11:00:00,2,50
178,11:00:00,3,81
179,11:00:00,4,71
180,11:00:00,5,85
